"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.02416 127064 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02426 127051 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02436 127038 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02446 127025 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02456 127012 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02466 126999 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02476 126986 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02486 126973 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02496 126960 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02506 126947 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02516 126934 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02526 126921 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02536 126908 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02546 126895 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02556 126882 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02566 126869 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02576 126856 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02586 126843 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02596 126830 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02606 126817 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
