"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.01930 121316 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01940 121304 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01950 121292 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01960 121280 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01969 121268 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01979 121256 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01989 121244 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01998 121232 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.02008 121220 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.02018 121208 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.02027 121196 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02037 121184 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02047 121172 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02057 121160 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02066 121148 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02076 121136 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02086 121124 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02095 121112 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02105 121100 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02115 121088 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02124 121076 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02134 121064 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02144 121052 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02154 121040 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02163 121028 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02173 121016 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02183 121004 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02192 120992 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02202 120980 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02212 120968 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02221 120956 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02231 120944 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02241 120932 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02251 120920 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02260 120908 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02270 120896 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02280 120884 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02289 120872 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02299 120860 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02309 120848 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02318 120836 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02328 120824 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02338 120812 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02348 120800 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02357 120788 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02367 120776 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02377 120764 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02386 120752 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02396 120740 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02406 120728 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02415 120716 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02425 120704 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02435 120692 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02445 120680 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02454 120668 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02464 120656 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02474 120644 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02483 120632 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02493 120620 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02503 120608 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02512 120596 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02522 120584 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02532 120572 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02542 120560 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02551 120548 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02561 120536 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02571 120524 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02580 120512 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02590 120500 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02600 120488 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02609 120476 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02619 120464 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02629 120452 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02639 120440 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02648 120428 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02658 120416 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02668 120404 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02677 120392 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02687 120380 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02697 120368 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02706 120356 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02716 120344 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02726 120332 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02736 120320 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02745 120308 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02755 120296 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02765 120284 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02774 120272 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02784 120260 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02794 120248 0.0 0.9999 1.0000 0.9988 0.9999 0.9999 1.0000 0.9988
0.02803 120236 0.0 0.9999 1.0000 0.9987 0.9999 0.9999 1.0000 0.9987
0.02813 120224 0.0 0.9999 1.0000 0.9987 0.9999 0.9999 1.0000 0.9987
0.02823 120212 0.0 0.9999 1.0000 0.9987 0.9999 0.9999 1.0000 0.9987
